iter	Passed	Remaining
347	567	1062
348	567	1059
349	568	1055
350	568	1051
351	569	1048
352	569	1044
353	570	1041
354	571	1038
355	572	1036
356	573	1033
357	575	1031
358	576	1030
359	577	1026
360	578	1024
361	579	1021
362	579	1017
363	580	1014
364	580	1010
365	581	1007
366	582	1003
367	582	1000
368	583	997
369	583	993
370	584	990
371	584	986
372	585	983
373	586	982
374	589	982
375	590	979
376	590	976
377	591	972
378	591	969
379	592	966
380	593	963
381	593	960
382	594	957
383	594	954
384	595	951
385	595	947
386	596	944
387	597	941
388	597	938
389	598	935
390	598	932
391	599	929
392	599	926
393	600	923
394	601	922
395	602	919
396	603	916
397	604	913
398	604	911
399	605	907
400	605	905
401	606	902
402	607	899
403	608	897
404	609	894
405	609	892
406	610	889
407	611	886
408	611	883
409	612	880
410	612	878
411	613	875
412	613	872
413	614	869
414	614	866
415	615	863
416	616	861
417	617	859
418	618	858
419	619	855
420	620	853
421	621	850
422	621	848
423	622	845
424	622	842
425	623	839
426	623	836
427	624	834
428	624	831
429	625	828
430	625	826
431	626	823
432	626	820
433	627	818
434	628	816
435	628	813
436	629	810
437	629	808
438	630	805
439	631	803
440	632	801
441	634	800
442	634	798
443	635	795
444	637	795
445	638	792
446	638	790
447	639	787
448	639	785
449	640	782
450	641	780
451	641	777
452	642	775
453	642	772
454	643	770
455	643	768
456	646	767
457	647	766
458	647	763
459	648	761
460	649	758
461	650	756
462	650	754
463	651	752
464	652	750
465	652	748
466	653	746
467	654	743
468	654	741
469	655	738
